KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
POR-GSW-04/09/2023,POR,POR vs. GSW,04/09/2023,L,12.0,27,10,27,0.37,3,13,0.231,4,4,1.0,2,6,8,6,2.0,0,0,2,-28.0,GSW,GSW @ POR,04/09/2023,W,12.0,55,20,29,0.69,12,18,0.667,3,3,1.0,2,13,15,18,1.0,2,1,3,28.0
DAL-SAS-04/09/2023,DAL,DAL vs. SAS,04/09/2023,L,12.0,14,6,29,0.207,1,11,0.091,1,4,0.25,2,13,15,2,2.0,0,2,6,-28.0,SAS,SAS @ DAL,04/09/2023,W,12.0,42,15,28,0.536,6,12,0.5,6,9,0.667,1,21,22,7,0.0,1,2,2,28.0
DEN-SAC-04/09/2023,DEN,DEN vs. SAC,04/09/2023,W,12.0,26,8,21,0.381,0,5,0.0,10,10,1.0,3,5,8,5,3.0,3,0,5,-17.0,SAC,SAC @ DEN,04/09/2023,L,12.0,43,16,26,0.615,7,12,0.583,4,5,0.8,4,8,12,12,3.0,2,5,6,17.0
BKN-PHI-04/09/2023,BKN,BKN vs. PHI,04/09/2023,L,12.0,21,6,18,0.333,3,7,0.429,6,6,1.0,1,8,9,3,6.0,1,1,4,-15.0,PHI,PHI @ BKN,04/09/2023,W,12.0,36,16,32,0.5,2,7,0.286,2,2,1.0,4,11,15,10,1.0,3,1,5,15.0
MIN-NOP-04/09/2023,MIN,MIN vs. NOP,04/09/2023,W,12.0,18,8,21,0.381,2,12,0.167,0,0,0.0,0,6,6,6,5.0,1,1,4,-12.0,NOP,NOP @ MIN,04/09/2023,L,12.0,30,12,28,0.429,2,9,0.222,4,4,1.0,6,10,16,7,3.0,4,1,2,12.0
TOR-MIL-04/09/2023,TOR,TOR vs. MIL,04/09/2023,W,12.0,35,15,25,0.6,4,6,0.667,1,1,1.0,0,9,9,8,0.0,2,1,2,9.0,MIL,MIL @ TOR,04/09/2023,L,12.0,26,11,22,0.5,4,9,0.444,0,0,0.0,1,10,11,8,4.0,0,1,3,-9.0
PHX-LAC-04/09/2023,PHX,PHX vs. LAC,04/09/2023,L,12.0,28,11,27,0.407,3,9,0.333,3,3,1.0,5,11,16,7,1.0,2,0,6,9.0,LAC,LAC @ PHX,04/09/2023,W,12.0,19,8,20,0.4,2,9,0.222,1,4,0.25,1,9,10,4,3.0,0,3,3,-9.0
WAS-HOU-04/09/2023,WAS,WAS vs. HOU,04/09/2023,L,12.0,39,16,30,0.533,4,13,0.308,3,3,1.0,5,11,16,8,2.0,2,2,4,8.0,HOU,HOU @ WAS,04/09/2023,W,12.0,31,12,28,0.429,3,6,0.5,4,4,1.0,4,8,12,6,2.0,1,2,2,-8.0
CLE-CHA-04/09/2023,CLE,CLE vs. CHA,04/09/2023,L,12.0,25,11,24,0.458,3,8,0.375,0,0,0.0,6,13,19,8,7.0,2,2,3,8.0,CHA,CHA @ CLE,04/09/2023,W,12.0,17,7,24,0.292,0,12,0.0,3,3,1.0,3,6,9,2,3.0,2,0,1,-8.0
LAL-UTA-04/09/2023,LAL,LAL vs. UTA,04/09/2023,W,12.0,31,12,26,0.462,5,13,0.385,2,2,1.0,2,12,14,7,4.0,1,2,1,6.0,UTA,UTA @ LAL,04/09/2023,L,12.0,25,11,27,0.407,3,12,0.25,0,0,0.0,1,10,11,9,5.0,1,2,3,-6.0
NYK-IND-04/09/2023,NYK,NYK vs. IND,04/09/2023,L,12.0,45,18,27,0.667,4,9,0.444,5,5,1.0,3,9,12,11,4.0,2,1,7,4.0,IND,IND @ NYK,04/09/2023,W,12.0,41,14,21,0.667,7,10,0.7,6,9,0.667,0,4,4,9,5.0,1,1,5,-4.0
OKC-MEM-04/09/2023,OKC,OKC vs. MEM,04/09/2023,W,12.0,20,8,23,0.348,2,10,0.2,2,2,1.0,2,11,13,3,6.0,0,0,3,-4.0,MEM,MEM @ OKC,04/09/2023,L,12.0,24,9,25,0.36,2,11,0.182,4,4,1.0,3,11,14,4,2.0,4,2,5,4.0
BOS-ATL-04/09/2023,BOS,BOS vs. ATL,04/09/2023,W,12.0,29,9,22,0.409,8,18,0.444,3,4,0.75,3,12,15,8,5.0,0,1,4,-2.0,ATL,ATL @ BOS,04/09/2023,L,12.0,31,14,28,0.5,1,5,0.2,2,2,1.0,2,10,12,7,1.0,3,2,2,2.0
CHI-DET-04/09/2023,CHI,CHI vs. DET,04/09/2023,W,12.0,26,12,23,0.522,1,4,0.25,1,1,1.0,0,7,7,8,1.0,6,2,5,1.0,DET,DET @ CHI,04/09/2023,L,12.0,25,10,20,0.5,5,9,0.556,0,1,0.0,3,10,13,6,7.0,0,0,1,-1.0
MIA-ORL-04/09/2023,MIA,MIA vs. ORL,04/09/2023,W,12.0,23,11,24,0.458,1,9,0.111,0,1,0.0,2,11,13,7,4.0,2,1,5,-1.0,ORL,ORL @ MIA,04/09/2023,L,12.0,24,8,25,0.32,3,13,0.231,5,7,0.714,6,10,16,5,3.0,4,0,3,1.0
UTA-DEN-04/08/2023,UTA,UTA vs. DEN,04/08/2023,W,12.0,32,14,24,0.583,2,9,0.222,2,4,0.5,3,13,16,9,7.0,5,0,6,13.0,DEN,DEN @ UTA,04/08/2023,L,12.0,19,6,20,0.3,1,11,0.091,6,8,0.75,1,7,8,4,6.0,3,0,5,-13.0
LAC-POR-04/08/2023,LAC,LAC vs. POR,04/08/2023,W,12.0,26,9,23,0.391,0,7,0.0,8,10,0.8,4,9,13,7,4.0,1,1,5,-7.0,POR,POR @ LAC,04/08/2023,L,12.0,33,11,22,0.5,2,8,0.25,9,10,0.9,3,9,12,6,2.0,3,1,5,7.0
SAS-MIN-04/08/2023,SAS,SAS vs. MIN,04/08/2023,L,12.0,35,14,25,0.56,6,10,0.6,1,2,0.5,0,12,12,13,2.0,0,1,5,0.0,MIN,MIN @ SAS,04/08/2023,W,12.0,35,13,26,0.5,5,11,0.455,4,7,0.571,2,10,12,9,1.0,2,1,2,0.0
BOS-TOR-04/07/2023,BOS,BOS vs. TOR,04/07/2023,W,12.0,34,12,20,0.6,3,11,0.273,7,8,0.875,3,15,18,9,8.0,1,4,2,18.0,TOR,TOR @ BOS,04/07/2023,L,12.0,16,7,24,0.292,1,5,0.2,1,1,1.0,2,4,6,4,3.0,6,0,6,-18.0
SAC-GSW-04/07/2023,SAC,SAC vs. GSW,04/07/2023,L,12.0,16,7,28,0.25,1,8,0.125,1,1,1.0,6,7,13,6,3.0,3,0,3,-16.0,GSW,GSW @ SAC,04/07/2023,W,12.0,32,12,25,0.48,5,14,0.357,3,3,1.0,5,13,18,10,5.0,2,4,1,16.0
IND-DET-04/07/2023,IND,IND vs. DET,04/07/2023,L,12.0,27,9,23,0.391,4,9,0.444,5,6,0.833,1,6,7,7,6.0,3,0,5,-8.0,DET,DET @ IND,04/07/2023,W,12.0,35,14,25,0.56,3,9,0.333,4,5,0.8,4,12,16,5,6.0,3,3,5,8.0
MIL-MEM-04/07/2023,MIL,MIL vs. MEM,04/07/2023,L,12.0,31,12,28,0.429,7,17,0.412,0,0,0.0,5,7,12,8,4.0,1,1,5,-5.0,MEM,MEM @ MIL,04/07/2023,W,12.0,36,15,24,0.625,3,7,0.429,3,4,0.75,2,10,12,11,2.0,2,2,2,5.0
LAL-PHX-04/07/2023,LAL,LAL vs. PHX,04/07/2023,W,12.0,30,11,22,0.5,5,8,0.625,3,4,0.75,0,12,12,6,3.0,0,3,2,-4.0,PHX,PHX @ LAL,04/07/2023,L,12.0,34,15,31,0.484,2,7,0.286,2,2,1.0,4,12,16,7,0.0,2,3,2,4.0
