KEY,(H)PTS,(H)FGM,(H)FGA,(H)3PM,(H)3PA,(H)FTM,(H)FTA,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)PTS,(A)FGM,(A)FGA,(A)3PM,(A)3PA,(A)FTM,(A)FTA,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-,total_score,score_diff,abs_score_diff,total_pts_q123,pace,h_fg_pct,a_fg_pct,h_3p_pct,a_3p_pct,h_ft_pct,a_ft_pct,posted_total,season,under
CLE-MIL-04/10/2022,111.0,41.0,77.0,17.0,34.0,12.0,17.0,10.0,32.0,42.0,30.0,4.0,5.0,5.0,17.0,32.0,79.0,28.0,70.0,8.0,23.0,15.0,19.0,7.0,27.0,34.0,20.0,10.0,3.0,2.0,11.0,-32.0,248.0,32.0,32.0,190.0,147.0,0.5324675324675324,0.4,0.5,0.34782608695652173,0.7058823529411765,0.7894736842105263,226.5,2022,0.0
LAC-OKC-04/10/2022,95.0,38.0,76.0,11.0,26.0,8.0,10.0,10.0,36.0,46.0,24.0,7.0,3.0,7.0,10.0,28.0,67.0,29.0,78.0,6.0,25.0,3.0,7.0,10.0,25.0,35.0,14.0,5.0,4.0,2.0,11.0,-28.0,226.0,28.0,28.0,162.0,154.0,0.5,0.3717948717948718,0.4230769230769231,0.24,0.8,0.42857142857142855,216.5,2022,0.0
BKN-IND-04/10/2022,103.0,41.0,64.0,6.0,16.0,15.0,17.0,7.0,33.0,40.0,26.0,15.0,4.0,6.0,10.0,9.0,94.0,36.0,82.0,14.0,35.0,8.0,11.0,9.0,14.0,23.0,24.0,5.0,12.0,1.0,17.0,-9.0,260.0,9.0,9.0,197.0,146.0,0.640625,0.43902439024390244,0.375,0.4,0.8823529411764706,0.7272727272727273,245.0,2022,0.0
MIN-CHI-04/10/2022,87.0,32.0,66.0,10.0,27.0,13.0,17.0,4.0,14.0,18.0,22.0,11.0,7.0,8.0,16.0,-10.0,97.0,35.0,66.0,8.0,17.0,19.0,24.0,15.0,27.0,42.0,16.0,20.0,7.0,2.0,15.0,10.0,244.0,-10.0,10.0,184.0,132.0,0.48484848484848486,0.5303030303030303,0.37037037037037035,0.47058823529411764,0.7647058823529411,0.7916666666666666,229.5,2022,0.0
HOU-ATL-04/10/2022,91.0,34.0,69.0,14.0,35.0,9.0,13.0,5.0,20.0,25.0,19.0,3.0,4.0,4.0,11.0,-11.0,102.0,39.0,70.0,16.0,26.0,8.0,12.0,10.0,29.0,39.0,24.0,8.0,2.0,2.0,12.0,11.0,244.0,-11.0,11.0,193.0,139.0,0.4927536231884058,0.5571428571428572,0.4,0.6153846153846154,0.6923076923076923,0.6666666666666666,241.0,2022,0.0
PHX-SAC-04/10/2022,77.0,30.0,77.0,10.0,34.0,7.0,10.0,16.0,23.0,39.0,20.0,10.0,6.0,6.0,12.0,-9.0,86.0,33.0,61.0,11.0,20.0,9.0,13.0,1.0,29.0,30.0,22.0,10.0,8.0,6.0,11.0,9.0,225.0,-9.0,9.0,163.0,138.0,0.38961038961038963,0.5409836065573771,0.29411764705882354,0.55,0.7,0.6923076923076923,227.0,2022,1.0
NYK-TOR-04/10/2022,73.0,29.0,68.0,10.0,32.0,5.0,7.0,10.0,26.0,36.0,22.0,13.0,6.0,3.0,10.0,1.0,72.0,30.0,70.0,8.0,29.0,4.0,4.0,8.0,27.0,35.0,22.0,12.0,8.0,2.0,10.0,-1.0,199.0,1.0,1.0,145.0,138.0,0.4264705882352941,0.42857142857142855,0.3125,0.27586206896551724,0.7142857142857143,1.0,214.0,2022,1.0
MEM-BOS-04/10/2022,79.0,29.0,77.0,11.0,33.0,10.0,18.0,14.0,18.0,32.0,19.0,8.0,10.0,4.0,13.0,-25.0,104.0,41.0,71.0,13.0,33.0,9.0,9.0,9.0,33.0,42.0,24.0,13.0,3.0,2.0,14.0,25.0,249.0,-25.0,25.0,183.0,148.0,0.37662337662337664,0.5774647887323944,0.3333333333333333,0.3939393939393939,0.5555555555555556,1.0,224.0,2022,0.0
PHI-DET-04/10/2022,93.0,35.0,62.0,4.0,15.0,19.0,21.0,6.0,24.0,30.0,19.0,10.0,11.0,5.0,21.0,5.0,88.0,31.0,64.0,9.0,25.0,17.0,25.0,11.0,18.0,29.0,21.0,14.0,4.0,3.0,15.0,-5.0,224.0,5.0,5.0,181.0,126.0,0.5645161290322581,0.484375,0.26666666666666666,0.36,0.9047619047619048,0.68,221.0,2022,0.0
CHA-WAS-04/10/2022,89.0,35.0,69.0,11.0,22.0,8.0,12.0,10.0,27.0,37.0,27.0,14.0,4.0,5.0,15.0,7.0,82.0,33.0,68.0,5.0,18.0,11.0,20.0,11.0,22.0,33.0,19.0,7.0,8.0,3.0,13.0,-7.0,232.0,7.0,7.0,171.0,137.0,0.5072463768115942,0.4852941176470588,0.5,0.2777777777777778,0.6666666666666666,0.55,233.5,2022,1.0
